,date,neuron,neurite,condition,length,length_decrease,intensity,intensity_norm,speedup_early,intensity_decrease,MT-RFmed
35,210910,12,124,FRB,0.0,0.0,-1.12341635711149,-0.559816145115399,True,-0.4867135594400724,-4.573791851851852
36,210910,12,125,FRB,-27.0,-16.0,-2.0142322169369575,-0.8958169415714664,True,-0.8916855768187864,-3.0915328888888896
37,210910,12,126,FRB,-41.0,-31.0,-1.302645873253358,-0.6978653944386959,True,-0.6623318389870064,-3.0260755555555554
38,210910,12,127,FRB,-36.0,-30.0,-0.8431341056471078,-0.7364601901140297,True,-0.7230875383704024,-2.2780413333333334
39,210910,13,120,FRB,15.0,-11.0,-0.19342580855232838,-0.21599867048234325,True,-0.16429228416356872,-1.65353746031746
40,210910,13,121,FRB,-18.0,-3.0,-0.2509208432778454,-0.3418634894240814,True,-0.2739779410915059,-0.733092380952381
41,210910,13,122,FRB,-10.0,-71.0,0.06175956111604464,0.10665437547193342,True,-12.396341913120443,-1.76462
49,210910,16,19,FRB,-10.0,-3.0,-0.06609105178446201,-0.20844325448836876,True,-0.5817964109528715,-0.88
62,210910,23,10,Cer,-4.0,-2.0,-0.13007825430516973,-0.08700050547870126,False,-0.06244030795461348,0.05791005291005294
63,210910,23,11,Cer,2.0,-1.0,-0.10537054408031854,-0.08760809017937664,False,-0.14860182066579616,-0.10592592592592585
64,210910,23,12,Cer,-7.0,,-0.02656188390132619,-0.1949579155088394,False,,
65,210910,23,13,Cer,-2.0,-3.0,0.11324747551386971,0.07499046044807658,False,0.005691713571083826,-0.1047619047619047
66,210910,23,14,Cer,-16.0,-128.0,-0.22525330916260733,-0.3519653231663036,False,-9.454895380971193,0.0
67,210910,24,80,Cer,-13.0,,0.04928838255740431,0.06683665007766963,False,,
68,210910,24,81,Cer,-13.0,-46.0,-0.31738284602045164,-0.278327659851261,False,-1.9733517568101062,-0.44
69,210910,24,82,Cer,-6.0,,-0.06848728642178581,-0.08381782945736425,False,,
70,210910,24,83,Cer,-3.0,,0.08874013272708914,0.09943284196797829,False,,
71,210910,25,75,Cer,-11.0,1.0,-0.23664857768907366,-0.1058078426949117,False,-0.4853008883639724,-0.7195720164609054
72,210910,25,76,Cer,-5.0,4.0,0.11587908690855742,0.20112139208251326,False,0.10585064448736642,-0.7302777777777778
73,210910,25,77,Cer,-94.0,,0.07235002611323399,0.38324795937195527,False,,
74,210910,25,78,Cer,-8.0,,-0.002600629025055534,-0.0035626023044581056,False,,
75,210910,26,72,Cer,-19.0,,-0.3129291898025982,-0.36336161384870047,False,,
76,210910,26,73,Cer,0.0,-8.0,0.21332929705576842,0.3167517417768116,False,0.0038200838475341615,-0.7333333333333334
77,210910,28,66,Cer,-7.0,-37.0,0.15768179632402068,0.17981198668517803,False,-4.220230105465004,-0.1283333333333333
78,210910,28,67,Cer,-10.0,,0.05030492761800853,0.06706294514918261,False,,
79,210910,28,68,Cer,2.0,1.0,-0.7620203866721748,-0.5349893460366026,False,-0.4681096212610302,-0.616
80,210910,28,69,Cer,-14.0,,-0.622082384544184,-0.49724865614777913,False,,
81,210910,28,70,Cer,6.0,,0.19111816424747097,0.28601436748492143,False,,
82,210910,29,61,Cer,-19.0,12.0,0.2977527196222889,0.7118758860291916,False,0.026498452095526398,-0.28212962962962956
83,210910,29,62,Cer,-18.0,-68.0,0.03575855286773144,0.0386467735319102,False,-5.968489694892665,-0.23466666666666663
84,210910,29,63,Cer,12.0,-80.0,-0.2823506924273509,-0.19560911741645876,False,-7.455870679079168,-0.44000000000000006
85,210910,29,64,Cer,-11.0,1.0,-0.18991643277300507,-0.4063650607254475,False,-0.4063650607254475,-0.22
86,210910,31,57,Cer,-2.0,,-0.4546663567972402,-0.3153570961836561,False,,
87,210910,31,58,Cer,-10.0,-12.0,-0.21787913730848374,-0.20248306172370067,False,-0.2475367347167298,-0.6453333333333333
88,210910,31,59,Cer,-9.0,,-0.103285476952232,-0.0901092898171561,False,,
89,210910,32,51,Cer,0.0,,-0.3106236398404002,-0.360261171836794,False,,
90,210910,32,52,Cer,-31.0,-66.0,0.23461615974064587,0.3110757581363227,False,-0.9193021957016184,-0.31317342739564963
91,210910,32,53,Cer,-18.0,-23.0,-0.09347734805341035,-0.1510340089725632,False,-3.808999889976895,-0.2118518518518518
92,210910,32,54,Cer,-7.0,,0.21574794095586747,0.27468151222332354,False,,
93,210910,32,55,Cer,12.0,-50.0,-0.10720023494590425,-0.12086285535518398,False,-0.9166977007213695,-0.6355555555555555
94,210910,34,43,Cer,-2.0,4.0,-0.16550473605336669,-0.18029350104821823,False,0.28783468104222737,-0.2074252136752136
95,210910,34,44,Cer,0.0,0.0,0.18025536856452362,0.09618066489720634,False,-0.10243274585515663,-0.44
96,210910,34,45,Cer,-11.0,,-0.1833365258977554,-0.18509061082996753,False,,
97,210910,34,46,Cer,-10.0,-7.0,-0.042862337266275086,-0.07664681977128857,False,1.175226995080398,-0.33
98,210910,34,47,Cer,0.0,0.0,0.1477662900497081,0.10363807222445946,False,-0.1050054737866437,-0.3228231111111111
99,210910,34,48,Cer,3.0,,-0.1265630277438693,-0.19622106710360265,False,,
100,210910,34,49,Cer,-3.0,-1.0,-0.215801024363995,-0.4547090778192294,False,-0.12099206349206346,-0.2557936507936508
101,210910,35,39,Cer,-1.0,2.0,-0.10549733014540397,-0.1045461032800786,False,-0.1326428390392861,-0.7667616334283002
102,210910,35,40,Cer,8.0,2.0,0.040706283333833415,0.09344758577745062,False,-0.20181616839847838,-0.24052910052910048
103,210910,35,41,Cer,-12.0,-15.0,-0.14518317007002435,-0.12442755206066566,False,-0.13185912311211884,-0.4780246913580247
104,210910,36,35,Cer,-6.0,,-0.050718587307906515,-0.19600436601334706,False,,
105,210910,36,36,Cer,-9.0,,-0.39132047650057145,-0.3974340871451478,False,,
106,210910,36,37,Cer,-12.0,-43.0,-0.5672988748684202,-0.4047228751437231,False,-4.049321055095989,-0.43162166666666657
107,210910,37,30,Cer,9.0,,0.17037644001695063,0.2306333624864159,False,,
108,210910,37,31,Cer,0.0,,-0.021474577620258506,-0.02477180191552527,False,,
109,210910,37,32,Cer,-11.0,9.0,-0.13259507969337214,-0.09908879741922058,False,0.08145924148356903,-0.007891156462585045
110,210910,37,33,Cer,-7.0,-7.0,-0.32449046104800905,-0.24165443571793105,False,-0.14268120756429156,-0.2786666666666667
111,210910,38,26,Cer,-48.0,-24.0,0.07829033688780096,0.09468922824343824,False,0.08371954589906022,-0.385
112,210910,38,27,Cer,-2.0,1.0,-0.07326266073765297,-0.0655692218181015,False,-0.0015916019404606915,-0.1466666666666666
113,210910,38,28,Cer,-2.0,,0.07088146733973077,0.10077986617987379,False,,
114,210910,39,21,Cer,-6.0,4.0,0.13188582131305626,0.07001592487850389,False,-0.031011035493286914,-0.39875
115,210910,39,22,Cer,-4.0,,-0.06956152710472291,-0.14013692032475572,False,,
116,210910,39,23,Cer,-17.0,-12.0,-0.7176504268355515,-0.6257127542816304,False,-0.506440713119075,-0.5614583333333333
117,210910,39,24,Cer,-22.0,-32.0,0.04862111439367711,0.07843547773125242,False,0.21667546881942093,-0.16761904761904758
118,210910,40,16,Cer,-24.0,,0.3321672742188052,0.5296774356011477,False,,
119,210910,40,17,Cer,-6.0,,-0.13125551630245513,-0.24401069905298908,False,,
120,210910,40,18,Cer,-10.0,,-0.30763937354192483,-0.2906919024271402,False,,
121,210910,40,19,Cer,3.0,,-0.03576104551898496,-0.02369321330088847,False,,
122,210910,41,11,Cer,-15.0,,-0.1555202874042415,-0.1974072295739983,False,,
123,210910,41,12,Cer,9.0,-2.0,-0.4232833970762956,-0.4922687381566391,False,-0.41484076261847996,-0.6355555555555555
124,210910,41,13,Cer,-16.0,,-0.018255654146392408,-0.029659212685684104,False,,
125,210910,41,14,Cer,4.0,11.0,0.38862190602868973,0.42397022332506173,False,-0.09902047423342165,-0.5426666666666666
126,210910,42,6,Cer,2.0,-103.0,0.19777540338048671,0.22410106375807254,False,-4.854191340965917,-0.277037037037037
127,210910,42,7,Cer,-44.0,-9.0,0.8259260071633653,1.3253081460924887,False,0.5023732091859827,-0.38499999999999995
128,210910,42,8,Cer,-4.0,,-0.2768910972511302,-0.3816791626323236,False,,
129,210910,42,9,Cer,4.0,-2.0,-0.253971833038271,-0.18016803547684723,False,-0.15900028704230595,-0.2383333333333333
130,210910,44,0,Cer,-5.0,,-0.2907608933346991,-0.3468601585325468,False,,
131,210910,44,1,Cer,0.0,,-0.14097851901804037,-0.11397313391497026,False,,
132,210910,44,2,Cer,-2.0,-17.0,0.09029574436310428,0.1043913354259252,False,-0.47145565927654615,-0.3116666666666667
133,210910,44,3,Cer,-2.0,,0.1913288607055157,0.1745644196118625,False,,
148,210928,6,152,FRB,31.0,-120.0,-0.5161683340284338,-0.6049764238329632,True,-9.93890803555234,-3.32508
149,210928,6,153,FRB,-65.0,-111.0,-0.4378155192745566,-0.6523771230801962,True,-7.187416107382556,-3.7373600000000002
151,210928,6,155,FRB,-42.0,-62.0,-0.15670889612185368,-0.22663832491302657,True,-15.182457518206496,-6.172906666666667
152,210928,6,156,FRB,-13.0,-5.0,-0.09644179711348727,-0.17903100885171497,True,-0.16654520378337279,-4.8467955555555555
153,210928,8,145,FRB,0.0,0.0,-0.3424956956395824,-0.2538706217503247,True,0.014674481544821911,-3.6706266666666663
154,210928,8,146,FRB,-34.0,-18.0,-0.008255174443474345,-0.015632202072880012,True,0.013290509005172486,-3.1927866666666667
155,210928,8,147,FRB,-10.0,-12.0,-1.1988781185598332,-0.6385490426789057,True,-0.42959968348259303,-3.1735366666666667
156,210928,8,148,FRB,9.0,3.0,-0.2527540303368443,-0.3102345203729923,True,-0.4305343676287714,-2.011093333333333
157,210928,8,149,FRB,-23.0,-63.0,-0.47921136847933643,-0.6448721260656163,True,-3.393920905208277,-3.14864
161,210928,11,133,FRB,-33.0,-52.0,-0.23114681518668623,-0.448498762241072,True,-2.691017036654621,-2.053333333333333
162,210928,12,125,FRB,-11.0,-8.0,0.0664942262835147,0.16151667180934737,True,0.12785207053711778,-1.2711111111111113
163,210928,12,126,FRB,-2.0,-4.0,0.02949742714083281,0.02699596729315933,True,-0.13345062606170138,-1.4566560846560845
199,210928,26,62,Cer,-1.0,-128.0,-0.012075789400268988,-0.007092855320967419,False,-9.540852998484523,-0.2688888888888889
200,210928,26,63,Cer,-15.0,-6.0,-0.007989902282236394,-0.009255309678070197,False,-0.014207124319574282,-0.29913580246913574
201,210928,26,64,Cer,-18.0,-12.0,-0.020614264143319905,-0.03310753687023139,False,-0.07214766613450574,-0.25089947089947084
202,210928,26,65,Cer,-9.0,,-0.02837220537330848,-0.09501122211688805,False,,
203,210928,28,49,Cer,-36.0,,0.08618993556394011,0.38448341637066336,False,,
204,210928,28,50,Cer,16.0,,0.12238751763051114,0.06748461572403684,False,,
205,210928,28,51,Cer,17.0,,-0.4571337693264511,-0.330836927702767,False,,
206,210928,28,52,Cer,9.0,,-0.10719958390481654,-0.0623568781297332,False,,
