,date,cell,type, ,Label,point,dX,dY,pixel_size,dZ,z_size,length,dFrames,total_length,total_frames,Ch,speed
35,220303,3,neurite,41,220303_slices_03_#slices_T3E_2DIV#-Hyperstack_registered.tif,1,0.22,0.88,0.22,0,1,-0.907,8,-0.907,8,2,-0.03779166666666667
36,220303,11,axon,35,220303_slices_11_#slices_T3E_2DIV#-Hyperstack_registered.tif,1,0.0,0.0,0.22,0,1,0.0,2,0.0,2,2,0.0
37,220303,11,neurite,39,220303_slices_11_#slices_T3E_2DIV#-Hyperstack_registered.tif,4,0.22,0.22,0.22,0,1,0.311,2,2.414,7,2,0.11495238095238096
38,220317,2,axon,30,220317_slices_02_slices-Hyperstack_registered.tif,1,0.0,0.0,0.22,0,1,0.0,11,0.0,11,2,0.0
39,220317,2,neurite,34,220317_slices_02_slices-Hyperstack_registered.tif,4,0.88,0.22,0.22,0,1,0.907,4,2.741,11,2,0.08306060606060606
40,220317,3,axon,28,220317_slices_03_slices-Hyperstack_registered.tif,2,0.22,0.0,0.22,0,1,0.22,7,0.531,8,2,0.022125000000000002
41,220317,3,neurite,29,220317_slices_03_slices-Hyperstack_registered.tif,1,0.22,0.44,0.22,0,1,-0.492,2,-0.492,2,2,-0.082
42,220317,4,axon,19,220317_slices_04_slices-Hyperstack_registered.tif,1,0.88,0.44,0.22,0,1,-0.984,2,-0.984,2,2,-0.164
43,220317,4,neurite,26,220317_slices_04_slices-Hyperstack_registered.tif,7,0.44,0.66,0.22,0,1,0.793,1,9.814,7,2,0.4673333333333333
44,220317,7,axon,17,220317_slices_07_slices-Hyperstack_registered.tif,6,0.22,0.44,0.22,0,1,0.492,2,4.176,7,2,0.19885714285714287
45,220317,7,neurite,18,220317_slices_07_slices-Hyperstack_registered.tif,1,0.22,0.0,0.22,0,1,0.22,7,0.22,7,1,0.010476190476190476
46,220324,1,axon,8,220324_slices_01_slices-Hyperstack_registered.tif,2,0.0,0.44,0.22,0,1,0.44,1,1.424,3,2,0.1582222222222222
47,220324,1,neurite,11,220324_slices_01_slices-Hyperstack_registered.tif,3,1.32,0.44,0.22,0,1,1.391,1,6.474,3,1,0.7193333333333334
48,220324,3,axon,2,220324_slices_03_slices-Hyperstack_registered.tif,2,0.22,0.22,0.22,0,1,0.311,1,0.803,2,2,0.13383333333333333
49,220324,3,neurite,6,220324_slices_03_slices-Hyperstack_registered.tif,4,1.54,0.88,0.22,0,1,1.774,1,4.602,4,2,0.3835
