,date,neuron,0,max_time,min_diff,number_neurites,nb_neurites_slower,MTRF_column,time_slowdown,axon_growth_time,time_slowdown_diff
0,190712,19,99999.0,1188.0,0.2,4,0,MT-RF_neg_smooth_200,99879.0,973,1648.4333333333334
1,190719,7,554.0,1164.0,0.2,6,0,MT-RF_neg_smooth_200,434.0,238,3.2666666666666666
2,190719,11,312.0,364.0,0.2,3,0,MT-RF_neg_smooth_200,192.0,100,1.5333333333333334
3,190723,2,99999.0,1817.0,0.2,4,0,MT-RF_neg_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1014.0,0.2,4,0,MT-RF_neg_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,225.0,707.0,0.2,3,0,MT-RF_neg_smooth_200,105.0,138,-0.55
6,190730,3,99999.0,1437.0,0.2,4,0,MT-RF_neg_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1372.0,0.2,4,0,MT-RF_neg_smooth_200,99879.0,0,1664.65
8,190802,5,237.0,1039.0,0.2,4,0,MT-RF_neg_smooth_200,117.0,407,-4.833333333333333
9,190802,9,263.0,686.0,0.2,4,0,MT-RF_neg_smooth_200,143.0,165,-0.36666666666666664
10,190802,10,99999.0,1311.0,0.2,3,0,MT-RF_neg_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,1080.0,1366.0,0.2,5,0,MT-RF_neg_smooth_200,960.0,409,9.183333333333334
12,190820,15,609.0,835.0,0.2,5,0,MT-RF_neg_smooth_200,489.0,348,2.35
13,190823,1,1278.0,2914.0,0.2,5,0,MT-RF_neg_smooth_200,1158.0,379,12.983333333333333
14,190823,3,1041.0,2910.0,0.2,9,0,MT-RF_neg_smooth_200,921.0,1900,-16.316666666666666
15,190823,12,1250.0,2435.0,0.2,6,0,MT-RF_neg_smooth_200,1130.0,1130,0.0
16,190823,15,99999.0,2920.0,0.2,4,0,MT-RF_neg_smooth_200,99879.0,1686,1636.55
0,190712,19,1053.0,1188.0,0.2,4,0,MT-RF_smooth_200,933.0,973,-0.6666666666666666
1,190719,7,99999.0,1164.0,0.2,6,0,MT-RF_smooth_200,99879.0,238,1660.6833333333334
2,190719,11,224.0,364.0,0.2,3,0,MT-RF_smooth_200,104.0,100,0.06666666666666667
3,190723,2,99999.0,1817.0,0.2,4,0,MT-RF_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1014.0,0.2,4,0,MT-RF_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,458.0,707.0,0.2,3,0,MT-RF_smooth_200,338.0,138,3.3333333333333335
6,190730,3,99999.0,1437.0,0.2,4,0,MT-RF_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1372.0,0.2,4,0,MT-RF_smooth_200,99879.0,0,1664.65
8,190802,5,237.0,1039.0,0.2,4,0,MT-RF_smooth_200,117.0,407,-4.833333333333333
9,190802,9,263.0,686.0,0.2,4,0,MT-RF_smooth_200,143.0,165,-0.36666666666666664
10,190802,10,99999.0,1311.0,0.2,3,0,MT-RF_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,1066.0,1366.0,0.2,5,0,MT-RF_smooth_200,946.0,409,8.95
12,190820,15,254.0,835.0,0.2,4,0,MT-RF_smooth_200,134.0,348,-3.566666666666667
13,190823,1,2872.0,2914.0,0.2,5,0,MT-RF_smooth_200,2752.0,379,39.55
14,190823,3,980.0,2910.0,0.2,9,0,MT-RF_smooth_200,860.0,1900,-17.333333333333332
15,190823,12,1250.0,2435.0,0.2,6,0,MT-RF_smooth_200,1130.0,1130,0.0
16,190823,15,1062.0,2920.0,0.2,4,0,MT-RF_smooth_200,942.0,1686,-12.4
0,190712,19,99999.0,1258.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,973,1648.4333333333334
1,190719,7,99999.0,1238.0,0.2,6,0,MT-RF_neg_smooth_60,99879.0,238,1660.6833333333334
2,190719,11,296.0,434.0,0.2,6,0,MT-RF_neg_smooth_60,176.0,100,1.2666666666666666
3,190723,2,99999.0,1887.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1086.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,472,1656.7833333333333
5,190726,7,200.0,787.0,0.2,3,0,MT-RF_neg_smooth_60,80.0,138,-0.9666666666666667
6,190730,3,99999.0,1518.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1459.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,0,1664.65
8,190802,5,228.0,1109.0,0.2,4,0,MT-RF_neg_smooth_60,108.0,407,-4.983333333333333
9,190802,9,187.0,758.0,0.2,4,0,MT-RF_neg_smooth_60,67.0,165,-1.6333333333333333
10,190802,10,99999.0,1394.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,200,1661.3166666666666
11,190806,10,1148.0,1450.0,0.2,5,0,MT-RF_neg_smooth_60,1028.0,409,10.316666666666666
12,190820,15,642.0,918.0,0.2,5,0,MT-RF_neg_smooth_60,522.0,348,2.9
13,190823,1,979.0,2989.0,0.2,5,0,MT-RF_neg_smooth_60,859.0,379,8.0
14,190823,3,1069.0,2980.0,0.2,9,0,MT-RF_neg_smooth_60,949.0,1900,-15.85
15,190823,12,1290.0,2527.0,0.2,6,0,MT-RF_neg_smooth_60,1170.0,1130,0.6666666666666666
16,190823,15,99999.0,2990.0,0.2,4,0,MT-RF_neg_smooth_60,99879.0,1686,1636.55
0,190712,19,99999.0,1188.0,0.3,4,0,MT-RF_neg_smooth_200,99879.0,973,1648.4333333333334
1,190719,7,575.0,1164.0,0.3,6,0,MT-RF_neg_smooth_200,455.0,238,3.6166666666666667
2,190719,11,332.0,364.0,0.3,3,0,MT-RF_neg_smooth_200,212.0,100,1.8666666666666667
3,190723,2,99999.0,1817.0,0.3,4,0,MT-RF_neg_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1014.0,0.3,4,0,MT-RF_neg_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,450.0,707.0,0.3,3,0,MT-RF_neg_smooth_200,330.0,138,3.2
6,190730,3,99999.0,1437.0,0.3,4,0,MT-RF_neg_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1372.0,0.3,4,0,MT-RF_neg_smooth_200,99879.0,0,1664.65
8,190802,5,237.0,1039.0,0.3,4,0,MT-RF_neg_smooth_200,117.0,407,-4.833333333333333
9,190802,9,263.0,686.0,0.3,4,0,MT-RF_neg_smooth_200,143.0,165,-0.36666666666666664
10,190802,10,99999.0,1311.0,0.3,3,0,MT-RF_neg_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,1087.0,1366.0,0.3,5,0,MT-RF_neg_smooth_200,967.0,409,9.3
12,190820,15,617.0,835.0,0.3,5,0,MT-RF_neg_smooth_200,497.0,348,2.4833333333333334
13,190823,1,1288.0,2914.0,0.3,5,0,MT-RF_neg_smooth_200,1168.0,379,13.15
14,190823,3,1048.0,2910.0,0.3,9,0,MT-RF_neg_smooth_200,928.0,1900,-16.2
15,190823,12,1266.0,2435.0,0.3,6,0,MT-RF_neg_smooth_200,1146.0,1130,0.26666666666666666
16,190823,15,99999.0,2920.0,0.3,4,0,MT-RF_neg_smooth_200,99879.0,1686,1636.55
0,190712,19,1058.0,1188.0,0.3,4,0,MT-RF_smooth_200,938.0,973,-0.5833333333333334
1,190719,7,99999.0,1164.0,0.3,6,0,MT-RF_smooth_200,99879.0,238,1660.6833333333334
2,190719,11,224.0,364.0,0.3,3,0,MT-RF_smooth_200,104.0,100,0.06666666666666667
3,190723,2,99999.0,1817.0,0.3,4,0,MT-RF_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1014.0,0.3,4,0,MT-RF_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,468.0,707.0,0.3,3,0,MT-RF_smooth_200,348.0,138,3.5
6,190730,3,99999.0,1437.0,0.3,4,0,MT-RF_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1372.0,0.3,4,0,MT-RF_smooth_200,99879.0,0,1664.65
8,190802,5,237.0,1039.0,0.3,4,0,MT-RF_smooth_200,117.0,407,-4.833333333333333
9,190802,9,263.0,686.0,0.3,4,0,MT-RF_smooth_200,143.0,165,-0.36666666666666664
10,190802,10,99999.0,1311.0,0.3,3,0,MT-RF_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,1081.0,1366.0,0.3,5,0,MT-RF_smooth_200,961.0,409,9.2
