date,neuron,type,neurite,manipulation,Unnamed: 0,time,length,intensity,intensity_distal,intensity_proximal,out_of_frame,frame,kymograph,experiment,length_um,growth_rate,rel_intensity
220421,0,axon,0,before,16,24.0,207.0,6849.598870056498,4576.0,8746.173913043478,True,16,213,2,68.31,-0.0879999999999938,1.036343381453671
220421,0,axon,0,between,216,324.0,182.0,5494.164473684211,3992.8125,7085.782608695652,False,216,213,2,60.06,0.0,0.8312663408380818
220421,0,axon,0,out_of_bounds,416,624.0,207.0,6684.745762711865,0.0,10854.434782608696,True,416,213,2,68.31,0.5720000000001164,1.0114011286371536
220421,0,dendrite,1,before,16,24.0,84.0,936.7592592592592,513.6875,1293.2173913043478,False,16,214,2,27.72,0.0439999999999993,1.1339354014363332
220421,0,dendrite,1,between,216,324.0,63.0,450.2121212121212,211.1875,459.4782608695652,False,216,214,2,20.790000000000003,0.0,0.5449761583374748
220421,0,dendrite,1,out_of_bounds,416,624.0,114.0,384.0357142857143,11.3125,1121.0,True,416,214,2,37.620000000000005,1.012000000000019,0.4648704430088141
220421,0,dendrite,2,before,16,24.0,92.0,2055.903225806452,626.8125,3512.304347826087,False,16,215,2,30.360000000000003,-2.3684757858670005e-15,0.9961738024978722
220421,0,dendrite,2,between,216,324.0,68.0,913.4473684210526,336.0,1422.9130434782608,False,216,215,2,22.44,0.044000000000049,0.4426046551995342
220421,0,dendrite,2,out_of_bounds,416,624.0,123.0,312.4731182795699,12.3125,889.9130434782609,True,416,215,2,40.59,0.8140000000000617,0.15140670558208025
220421,1,dendrite,0,before,16,24.0,306.0,1637.2898550724638,856.9375,1350.304347826087,True,16,207,2,100.98,0.0,0.967131603601714
220421,1,dendrite,0,between,216,324.0,225.0,2392.989743589744,861.0625,4342.130434782609,False,216,207,2,74.25,-0.0220000000001239,1.4135163672763214
220421,1,dendrite,0,out_of_bounds,416,624.0,306.0,4074.184782608696,0.0,8141.695652173913,True,416,207,2,100.98,1.9360000000000543,2.4065823470210526
220421,1,dendrite,2,before,16,24.0,173.0,2401.748251748252,384.6875,5172.608695652174,False,16,209,2,57.09,0.021999999999996,0.8483900531153659
220421,1,dendrite,2,between,216,324.0,122.0,785.3152173913044,305.375,1353.6521739130435,False,216,209,2,40.260000000000005,-0.3299999999999272,0.2774036031919425
220421,1,dendrite,2,out_of_bounds,416,624.0,184.0,705.3506493506494,10.4375,1669.391304347826,True,416,209,2,60.720000000000006,1.4520000000001687,0.24915703568513722
220421,1,dendrite,3,before,16,24.0,88.0,1818.706896551724,483.625,2850.086956521739,False,16,210,2,29.040000000000003,-0.0880000000000033,0.8871750063311248
220421,1,dendrite,3,between,216,324.0,56.0,1421.1538461538462,1134.4375,3998.782608695652,False,216,210,2,18.48,-0.1760000000000209,0.6932464900471571
220421,1,dendrite,3,out_of_bounds,416,624.0,145.0,284.3826086956521,3.0625,1376.9130434782608,True,416,210,2,47.85,1.8920000000000692,0.13872336611709307
220421,3,axon,0,before,16,24.0,185.0,8208.496774193549,6487.4375,10573.521739130434,True,16,197,2,61.05,0.0,1.0229135441374304
220421,3,axon,0,between,216,324.0,158.0,6481.5546875,4477.5,7346.95652173913,False,216,197,2,52.14,0.0,0.8077081905855505
220421,3,axon,0,out_of_bounds,416,624.0,185.0,6304.870967741936,0.0,9007.739130434782,True,416,197,2,61.05,0.5939999999999893,0.7856904966105337
220421,3,dendrite,1,before,16,24.0,160.0,2738.769230769231,708.4375,5914.434782608696,True,16,198,2,52.8,0.0,1.016616674352301
220421,3,dendrite,1,between,216,324.0,160.0,1248.7,293.0,2820.0,True,216,198,2,52.8,0.0,0.46351084531031167
220421,3,dendrite,1,out_of_bounds,416,624.0,160.0,470.0230769230769,43.0,954.7391304347826,True,416,198,2,52.8,0.41800000000003,0.17447008384717627
220421,3,dendrite,2,before,16,24.0,228.0,3536.631313131313,1106.75,6282.95652173913,True,16,199,2,75.24000000000001,0.0660000000000025,0.9600847214469177
220421,3,dendrite,2,between,216,324.0,224.0,2555.221649484536,364.625,4823.565217391304,False,216,199,2,73.92,-0.2860000000000582,0.6936627113128225
220421,3,dendrite,2,out_of_bounds,416,624.0,228.0,2548.338383838384,0.0,4442.434782608696,True,416,199,2,75.24000000000001,0.3960000000001571,0.6917941201040092
220421,4,axon,0,before,16,24.0,334.0,2925.9111842105262,1546.125,6833.086956521739,True,16,193,2,110.22,-1.8947806286936004e-14,1.0546515098832412
220421,4,axon,0,between,216,324.0,334.0,2715.095394736842,715.8125,3951.695652173913,True,216,193,2,110.22,0.0,0.9786624669227181
220421,4,axon,0,out_of_bounds,417,625.5,334.0,2704.055921052632,1079.6875,5369.521739130435,True,417,193,2,110.22,0.0,0.9746832628880235
220421,4,dendrite,1,before,16,24.0,64.0,1147.470588235294,297.875,933.391304347826,False,16,194,2,21.12,0.3079999999999998,1.4661086018878646
220421,4,dendrite,1,between,216,324.0,75.0,1412.2888888888888,607.25,2058.1304347826085,False,216,194,2,24.75,0.0659999999999835,1.8044635824043231
220421,4,dendrite,1,out_of_bounds,417,625.5,115.0,616.3058823529411,4.0,1477.0,True,417,194,2,37.95,0.9020000000000435,0.7874462010406283
220421,4,dendrite,2,before,16,24.0,76.0,567.5869565217391,302.1875,778.7391304347826,False,16,195,2,25.08,-0.0219999999999984,0.9751479545038731
220421,4,dendrite,2,between,216,324.0,36.0,272.0,201.0,962.304347826087,False,216,195,2,11.88,-0.0879999999999808,0.4673120842143499
220421,4,dendrite,2,out_of_bounds,417,625.5,129.0,87.74747474747475,20.75,117.08695652173913,True,417,195,2,42.57,2.0899999999999643,0.15075535039995758
220421,5,axon,0,before,16,24.0,170.0,10205.142857142857,4579.125,15544.130434782608,True,16,190,2,56.1,-9.473903143468002e-15,1.01405403717318
220421,5,axon,0,between,117,175.5,170.0,8540.714285714286,4213.875,15826.91304347826,True,117,190,2,56.1,0.0,0.8486648274315273
220421,5,dendrite,1,before,16,24.0,162.0,3128.5,222.4375,6967.260869565217,False,16,191,2,53.46,-0.0220000000000103,0.9988912147281451
220421,5,dendrite,1,between,117,175.5,195.0,239.7333333333333,9.4375,810.2608695652174,True,117,191,2,64.35000000000001,2.200000000000003,0.07654387743140822
220421,6,axon,0,before,16,24.0,190.0,3267.9125,3048.875,4691.478260869565,True,16,181,2,62.7,0.0,0.9882013858209677
220421,6,axon,0,between,216,324.0,190.0,3803.2,2573.0,5174.217391304348,True,216,181,2,62.7,0.0,1.150069810790315
220421,6,axon,0,out_of_bounds,417,625.5,190.0,10189.45625,6643.125,12565.95652173913,True,417,181,2,62.7,0.0,3.0812436951760858
220421,6,dendrite,1,before,16,24.0,179.0,2671.1006711409395,258.4375,4580.695652173913,True,16,182,2,59.07,-4.736951571734001e-15,0.8858844537733291
220421,6,dendrite,1,between,216,324.0,53.0,1449.0,299.875,1687.695652173913,False,216,182,2,17.490000000000002,-0.5719999999999956,0.4805683991570615
220421,6,dendrite,1,out_of_bounds,417,625.5,179.0,247.6040268456376,0.0,1571.8695652173913,True,417,182,2,59.07,2.991999999999948,0.08211916549761915
220421,6,dendrite,7,before,16,24.0,350.0,3726.2125,492.0625,9747.695652173914,True,16,188,2,115.5,0.0,0.9869915946771116
220421,6,dendrite,7,between,216,324.0,255.0,2571.36,232.25,6257.826086956522,False,216,188,2,84.15,0.0439999999999921,0.6810966113416607
220421,6,dendrite,7,out_of_bounds,417,625.5,350.0,531.6125,564.75,1055.2608695652175,True,417,188,2,115.5,0.0,0.14081243866936896
220421,7,axon,0,before,16,24.0,137.0,1055.0934579439252,774.0,1655.608695652174,True,16,177,2,45.21,0.0,0.9731362839028889
220421,7,axon,0,between,216,324.0,110.0,1495.475,1412.5,1666.8695652173913,False,216,177,2,36.3,0.0,1.3793100252992159
220421,7,axon,0,out_of_bounds,416,624.0,137.0,2539.5794392523367,0.0,3809.304347826087,True,416,177,2,45.21,0.6159999999999854,2.342310891592644
220421,7,dendrite,1,before,16,24.0,123.0,1414.0860215053765,430.0625,2399.3478260869565,False,16,178,2,40.59,-0.2199999999999988,0.9338441931236829
220421,7,dendrite,1,between,216,324.0,83.0,421.9056603773585,223.3125,618.7391304347826,False,216,178,2,27.39,0.2419999999999476,0.27862106335651304
220421,7,dendrite,1,out_of_bounds,416,624.0,149.0,38.91596638655462,20.1875,50.60869565217392,True,416,178,2,49.17,2.640000000000024,0.025699602907603095
220421,7,dendrite,2,before,16,24.0,174.0,1117.4027777777778,331.5,2204.086956521739,False,16,179,2,57.42,0.0440000000000016,0.8815808165832949
