date,neuron,type,neurite,manipulation,Unnamed: 0,origin,branch,kymograph,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,frame
220421,6,dendrite,7,early,83,0.5,0.5,163,144.0,-0.0942857142857142,,1.0,,,,-0.0942857142857142,,1.0,96.0
220421,6,dendrite,7,out_of_bounds,133,0.5,0.5,163,231.0,-0.1621052631578947,,1.0,,,,-0.1621052631578947,,1.0,154.0
220421,8,axon,0,before,15,0.5,0.5,151,24.0,0.0,,1.0,,,,,,,16.0
220421,8,axon,0,early,59,0.5,0.5,151,91.5,0.0,,1.0,,,,,,,61.0
220421,8,dendrite,1,before,15,0.5,0.5,152,22.5,-0.055,,1.0,,,,-0.055,,1.0,15.0
220421,8,dendrite,1,early,94,0.5,0.5,152,144.0,-0.0391111111111111,,1.0,,,,-0.0391111111111111,,1.0,96.0
220421,8,dendrite,1,out_of_bounds,130,0.5,0.5,152,202.5,-0.092258064516129,,1.0,,,,-0.092258064516129,,1.0,135.0
220421,8,dendrite,2,before,15,0.5,0.5,153,22.5,-0.0275,,1.0,,,,-0.0275,,1.0,15.0
220421,8,dendrite,2,early,93,0.5,0.5,153,144.0,-0.045,,1.0,,,,-0.045,,1.0,96.0
220421,8,dendrite,2,out_of_bounds,110,0.5,0.5,153,169.5,-0.045,,1.0,,,,-0.045,,1.0,113.0
220421,9,axon,0,before,15,0.5,0.5,137,22.5,0.0,,1.0,,,,,,,15.0
220421,9,axon,0,early,92,0.5,0.5,137,144.0,0.0424096385542168,,1.0,0.0424096385542168,,1.0,-0.0133333333333333,,1.0,96.0
220421,9,axon,0,out_of_bounds,131,0.5,0.5,137,202.5,0.0424096385542168,,1.0,0.0424096385542168,,1.0,,,,135.0
220421,9,dendrite,1,before,12,0.5,0.5,138,24.0,0.0425806451612903,,1.0,0.0425806451612903,,1.0,,,,16.0
220421,9,dendrite,1,early,87,0.5,0.5,138,144.0,-0.1042105263157894,,1.0,0.0425806451612903,,1.0,-0.1042105263157894,,1.0,96.0
