date,experiment,cell,level_3,time,Length,flow,accumulation,stage,length_diff,neurite,speed
190604,1,3,40,10.0,44.72512,0.6221599999999999,yes,2.5,0.0,long,0.062215999999999994
190604,1,3,42,10.0,38.45512,3.9842,no,2.5,-6.269999999999996,short,0.39842
190604,1,4,36,9.0,57.61184,1.76,yes,2.5,-0.11792000000000513,short,0.19555555555555557
190604,1,4,38,9.0,57.729760000000006,4.4,no,2.5,0.0,long,0.48888888888888893
190607,1,3,28,2.0,8.56724,3.4443200000000003,yes,2.0,-10.370799999999997,short,1.7221600000000001
190607,1,3,30,2.0,18.938039999999997,2.7979600000000002,no,2.0,0.0,short,1.3989800000000001
190607,1,4,24,3.5,44.643719999999995,1.32,yes,2.5,0.0,long,0.37714285714285717
190607,1,4,26,3.5,34.81324,4.0568,no,2.5,-9.830479999999994,short,1.1590857142857143
190607,1,5,20,3.5,30.05772,1.2443199999999999,yes,2.0,-4.115759999999998,short,0.35551999999999995
190607,1,5,22,3.5,34.17348,4.0568,no,2.0,0.0,short,1.1590857142857143
190607,1,6,16,4.5,36.271840000000005,-0.64152,yes,2.0,-0.5697999999999936,short,-0.14256
190607,1,6,18,6.0,36.84164,1.58664,no,2.0,0.0,short,0.26444
190607,1,8,12,7.0,34.71512,3.08,yes,2.5,0.0,long,0.44
190607,1,8,14,7.0,24.589399999999998,3.08,no,2.5,-10.125720000000001,short,0.44
190607,1,9,8,1.5,34.2518,0.6221599999999999,yes,2.0,-4.248199999999997,short,0.41477333333333327
190607,1,9,10,1.5,38.5,1.39128,no,2.0,0.0,short,0.92752
190607,1,10,4,2.0,16.732760000000003,2.2,yes,2.0,-6.264279999999996,short,1.1
190607,1,10,6,2.0,22.99704,1.2443199999999999,no,2.0,0.0,short,0.6221599999999999
190607,1,12,0,1.5,23.214399999999998,0.0,yes,2.0,0.0,short,0.0
190607,1,12,2,1.5,14.164919999999999,1.8669200000000001,no,2.0,-9.049479999999999,short,1.2446133333333333
