,date,neuron,Unnamed: 0,kymograph,frame,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,neurite,manipulation,condition
42,220429.0,1.0,133,392,65.0,97.5,-0.2566666666666666,,1.0,,,,-0.2566666666666666,,1.0,1,between,wt
43,220429.0,1.0,127,392,57.0,85.5,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
44,220429.0,1.0,134,392,66.0,99.0,-0.2566666666666666,,1.0,,,,-0.2566666666666666,,1.0,1,early,wt
45,220429.0,1.0,136,392,68.0,102.0,-0.2566666666666666,,1.0,,,,-0.2566666666666666,,1.0,1,early,wt
46,220429.0,1.0,137,392,69.0,103.5,-0.2566666666666666,,1.0,,,,-0.2566666666666666,,1.0,1,early,wt
47,220429.0,1.0,138,392,70.0,105.0,-0.2566666666666666,,1.0,,,,-0.2566666666666666,,1.0,1,early,wt
48,220429.0,1.0,139,392,113.0,169.5,0.3096296296296296,,1.0,0.3096296296296296,,1.0,,,,1,late,wt
49,220429.0,1.0,140,392,114.0,171.0,0.3096296296296296,,1.0,0.3096296296296296,,1.0,,,,1,late,wt
50,220429.0,1.0,141,392,115.0,172.5,0.3096296296296296,,1.0,0.3096296296296296,,1.0,,,,1,late,wt
51,220429.0,1.0,135,392,67.0,100.5,-0.2566666666666666,,1.0,,,,-0.2566666666666666,,1.0,1,early,wt
52,220429.0,1.0,108,392,16.0,24.0,-0.2383333333333333,,1.0,,,,-0.2383333333333333,,1.0,1,before,wt
53,220429.0,1.0,126,392,56.0,84.0,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
54,220429.0,1.0,124,392,54.0,81.0,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
55,220429.0,1.0,110,392,18.0,27.0,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
56,220429.0,1.0,111,392,19.0,28.5,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
57,220429.0,1.0,112,392,20.0,30.0,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
58,220429.0,1.0,113,392,21.0,31.5,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
59,220429.0,1.0,114,392,22.0,33.0,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
60,220429.0,1.0,115,392,23.0,34.5,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
61,220429.0,1.0,125,392,55.0,82.5,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
62,220429.0,1.0,116,392,24.0,36.0,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
63,220429.0,1.0,118,392,26.0,39.0,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
64,220429.0,1.0,119,392,49.0,73.5,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
65,220429.0,1.0,120,392,50.0,75.0,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
66,220429.0,1.0,121,392,51.0,76.5,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
67,220429.0,1.0,122,392,52.0,78.0,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
68,220429.0,1.0,123,392,53.0,79.5,-0.2444444444444444,,1.0,,,,-0.2444444444444444,,1.0,1,before,wt
69,220429.0,1.0,117,392,25.0,37.5,-0.2118518518518518,,1.0,,,,-0.2118518518518518,,1.0,1,before,wt
70,220429.0,1.0,72,391,76.0,114.0,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
71,220429.0,1.0,71,391,75.0,112.5,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
72,220429.0,1.0,70,391,74.0,111.0,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
73,220429.0,1.0,19,391,8.0,12.0,-0.3299999999999999,0.0788688550461859,4.0,,,,-0.3299999999999999,0.0788688550461859,4.0,2,before,wt
74,220429.0,1.0,20,391,9.0,13.5,-0.3299999999999999,0.0788688550461859,4.0,,,,-0.3299999999999999,0.0788688550461859,4.0,2,before,wt
75,220429.0,1.0,21,391,10.0,15.0,-0.3299999999999999,0.0788688550461859,4.0,,,,-0.3299999999999999,0.0788688550461859,4.0,2,before,wt
76,220429.0,1.0,22,391,11.0,16.5,-0.3299999999999999,0.0788688550461859,4.0,,,,-0.3299999999999999,0.0788688550461859,4.0,2,before,wt
77,220429.0,1.0,23,391,12.0,18.0,-0.3299999999999999,0.0788688550461859,4.0,,,,-0.3299999999999999,0.0788688550461859,4.0,2,before,wt
78,220429.0,1.0,24,391,13.0,19.5,-0.2933333333333333,0.0884064686756784,3.0,,,,-0.2933333333333333,0.0884064686756784,3.0,2,before,wt
79,220429.0,1.0,18,391,7.0,10.5,-0.2933333333333333,0.0733333333333333,3.0,,,,-0.2933333333333333,0.0733333333333333,3.0,2,before,wt
80,220429.0,1.0,25,391,14.0,21.0,-0.2933333333333333,0.0884064686756784,3.0,,,,-0.2933333333333333,0.0884064686756784,3.0,2,before,wt
81,220429.0,1.0,27,391,16.0,24.0,-0.396,,1.0,,,,-0.396,,1.0,2,before,wt
82,220429.0,1.0,28,391,17.0,25.5,-0.396,,1.0,,,,-0.396,,1.0,2,before,wt
83,220429.0,1.0,29,391,18.0,27.0,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
84,220429.0,1.0,30,391,19.0,28.5,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
85,220429.0,1.0,31,391,20.0,30.0,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
86,220429.0,1.0,32,391,21.0,31.5,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
87,220429.0,1.0,26,391,15.0,22.5,-0.3446666666666667,0.0725962962018188,2.0,,,,-0.3446666666666667,0.0725962962018188,2.0,2,before,wt
88,220429.0,1.0,33,391,22.0,33.0,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
89,220429.0,1.0,17,391,6.0,9.0,-0.2933333333333333,0.0733333333333333,3.0,,,,-0.2933333333333333,0.0733333333333333,3.0,2,before,wt
90,220429.0,1.0,15,391,4.0,6.0,-0.2933333333333333,0.0733333333333333,3.0,,,,-0.2933333333333333,0.0733333333333333,3.0,2,before,wt
91,220429.0,1.0,1,393,37.0,55.5,-0.5238095238095238,,1.0,,,,-0.5238095238095238,,1.0,0,before,wt
92,220429.0,1.0,2,393,38.0,57.0,-0.5238095238095238,,1.0,,,,-0.5238095238095238,,1.0,0,before,wt
93,220429.0,1.0,3,393,39.0,58.5,-0.5238095238095238,,1.0,,,,-0.5238095238095238,,1.0,0,before,wt
