date,experiment,cell,kymograph,Unnamed: 0, ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,Angle,%Area,Slice,MinThr,MaxThr,Length,MTRF,length_difference
171103,3,cell0005,80,43,44,171103_TUBB2amEos_03_baseline_cell0005_Hyperstack_MTRF_kymograph-80.tif,16,357.875,77.746,305,540,22,1,4,14,-106.477,0,1,0,65535,14.99,-0.2514285714285714,2
171107,7,cell0001,78,66,67,171107_TUBb2amEos_07_baseline_cell0001_Hyperstack_MTRF_kymograph-78.tif,15,438.4,81.267,336,671,28,1,0,14,-91.941,0,1,0,65535,14.066,-0.0,0
171107,7,cell0001,77,69,70,171107_TUBb2amEos_07_baseline_cell0001_Hyperstack_MTRF_kymograph-77.tif,11,909.273,385.729,533,1536,29,1,2,10,-101.03,0,1,0,65535,10.056,-0.176,0
171107,7,cell0005,75,27,28,171107_TUBb2amEos_07_baseline_cell0005_Hyperstack_MTRF_kymograph-75.tif,23,351.609,36.772,279,407,7,1,13,18,-126.187,0,1,0,65535,22.377,-0.6355555555555555,4
171107,7,cell0005,74,38,39,171107_TUBb2amEos_07_baseline_cell0005_Hyperstack_MTRF_kymograph-74.tif,10,488.8,108.413,393,691,18,1,0,9,-90.0,0,1,0,65535,8.603,0.0,7
171107,7,cell0009,71,11,12,171107_TUBb2amEos_07_baseline_cell0009_Hyperstack_MTRF_kymograph-71.tif,21,454.143,63.139,397,674,10,1,8,18,-114.408,0,1,0,65535,19.965,-0.3911111111111111,5
171107,7,cell0009,72,21,22,171107_TUBb2amEos_07_baseline_cell0009_Hyperstack_MTRF_kymograph-72.tif,22,483.545,107.651,365,760,7,1,10,19,-118.526,0,1,0,65535,21.49,-0.4631578947368421,7
171107,8,cell0001,68,47,48,171107_TUBb2amEos_08_baseline_cell0001_Hyperstack_MTRF_kymograph-68.tif,20,835.35,191.59,473,1122,23,1,0,19,-90.0,0,1,0,65535,19.456,0.0,-4
171107,8,cell0001,69,58,59,171107_TUBb2amEos_08_baseline_cell0001_Hyperstack_MTRF_kymograph-69.tif,18,704.889,158.486,502,997,15,1,0,17,-90.0,0,1,0,65535,17.162,0.0,-3
171107,8,cell0003,66,16,17,171107_TUBb2amEos_08_baseline_cell0003_Hyperstack_MTRF_kymograph-66.tif,19,985.789,277.951,759,1762,12,1,5,17,-106.399,0,1,0,65535,17.632,-0.2588235294117647,-5
171107,8,cell0003,65,42,43,171107_TUBb2amEos_08_baseline_cell0003_Hyperstack_MTRF_kymograph-65.tif,12,628.167,84.939,469,760,24,1,0,11,-90.0,0,1,0,65535,10.798,0.0,-3
171107,8,cell0009,60,19,20,171107_TUBb2amEos_08_baseline_cell0009_Hyperstack_MTRF_kymograph-60.tif,11,364.455,64.275,297,491,17,1,6,8,-53.259,0,1,0,65535,9.82,0.66,2
171107,8,cell0009,59,31,32,171107_TUBb2amEos_08_baseline_cell0009_Hyperstack_MTRF_kymograph-59.tif,17,559.235,196.523,382,1158,11,1,8,14,-119.418,0,1,0,65535,16.105,-0.5028571428571428,5
171107,9,cell0006,56,22,23,171107_TUBb2amEos_09_baseline_cell0006_Hyperstack_MTRF_kymograph-56.tif,22,443.591,107.905,315,764,9,1,10,19,-119.4,0,1,0,65535,21.296,-0.4631578947368421,6
171107,9,cell0006,57,36,37,171107_TUBb2amEos_09_baseline_cell0006_Hyperstack_MTRF_kymograph-57.tif,22,599.591,80.643,459,775,15,1,10,19,-117.897,0,1,0,65535,21.284,-0.4631578947368421,2
