date,cell,experiment,level_3,time,Length,flow,stage,length_diff,neurite,speed,exclude
171013,0,5,241,9.5,32.54768,2.81732,2.5,-5.9465999999999966,short,0.29656,False
171013,0,5,243,8.0,38.49428,2.81732,2.5,0.0,long,0.352165,False
171013,1,5,237,9.5,61.92384,1.58664,3.0,0.0,long,0.1670147368421052,False
171013,1,5,239,9.5,38.5836,3.08,3.0,-23.34024,short,0.3242105263157895,False
171013,2,5,233,18.0,42.0134,0.0,2.5,0.0,long,0.0,False
171013,2,5,235,5.0,10.59212,4.0568,2.5,-31.42128,short,0.81136,False
171013,3,5,229,9.5,57.03192,0.0,3.0,0.0,long,0.0,True
171013,3,5,231,9.5,12.80444,5.18672,3.0,-44.22748,short,0.5459705263157895,True
171013,4,5,226,4.5,37.603280000000005,3.4364,2.5,0.0,long,0.7636444444444445,False
171013,5,5,222,9.5,16.46348,7.167160000000001,2.0,-10.84864,short,0.7544378947368422,True
171013,5,5,224,2.0,27.31212,0.0,2.0,0.0,short,0.0,True
171013,0,6,218,9.5,46.64132,3.1728400000000003,2.0,0.0,short,0.3339831578947368,False
171013,0,6,220,8.5,46.09132,3.2032000000000003,2.0,-0.5499999999999972,short,0.3768470588235294,False
171013,1,6,214,9.5,37.56764,3.8302,2.5,-7.744440000000004,short,0.4031789473684211,False
171013,1,6,216,5.5,45.31208,1.32,2.5,0.0,long,0.24,False
171013,2,6,210,9.5,53.5502,4.06384,3.0,0.0,long,0.4277726315789473,False
171013,2,6,212,6.0,10.12132,5.72,3.0,-43.42887999999999,short,0.9533333333333333,False
171013,3,6,208,8.5,54.84952,2.3694,2.5,-1.7217199999999977,short,0.2787529411764705,False
171013,3,6,709,14.0,56.57124,2.27788,2.5,0.0,long,0.1627057142857142,False
171013,3,6,711,10.0,32.03068,0.5948800000000001,2.5,-24.54056,short,0.059488,False
171013,4,6,204,9.5,56.67288,4.93724,3.0,0.0,long,0.5197094736842105,False
171013,4,6,206,5.0,16.65004,5.90304,3.0,-40.02284,short,1.180608,False
171013,5,6,200,6.5,48.73264,1.32,2.5,0.0,long,0.2030769230769231,False
171013,5,6,202,8.0,14.1218,6.303,2.5,-34.61084,short,0.787875,False
171013,0,7,196,9.5,46.44728,4.0669200000000005,2.5,0.0,long,0.4280968421052632,False
171013,0,7,198,3.0,24.69896,5.8058000000000005,2.5,-21.74832,short,1.935266666666667,False
171013,1,7,192,5.0,5.04768,3.11124,3.0,-62.31280000000001,short,0.622248,False
171013,1,7,194,9.5,67.36048000000001,1.96768,3.0,0.0,long,0.2071242105263158,False
171013,2,7,188,9.5,29.80956,7.7726,2.0,-1.7925599999999982,short,0.8181684210526315,False
171013,2,7,190,7.5,31.60212,6.7694,2.0,0.0,short,0.9025866666666666,False
171013,3,7,184,5.5,44.16236,1.76,2.0,-1.043680000000002,short,0.32,False
171013,3,7,186,4.5,45.20604,0.98384,2.0,0.0,short,0.2186311111111111,False
171013,4,7,180,9.5,31.46616,2.48908,2.5,0.0,long,0.2620084210526315,False
171013,4,7,182,7.5,11.50732,3.9842,2.5,-19.95884,short,0.5312266666666666,False
171013,5,7,176,9.5,16.866519999999998,3.4364,2.0,0.0,short,0.3617263157894737,False
171013,5,7,178,9.5,14.0668,1.96768,2.0,-2.799719999999999,short,0.2071242105263158,False
171013,0,8,174,9.5,11.38104,5.31652,2.0,-0.40348,short,0.5596336842105263,False
171013,1,8,170,8.5,58.7972,1.39128,3.0,0.0,long,0.16368,False
171013,1,8,172,3.5,8.55052,4.9200800000000005,3.0,-50.24668,short,1.405737142857143,False
171013,2,8,166,9.0,28.1886,2.3694,2.0,0.0,short,0.2632666666666666,False
171013,3,8,162,9.5,64.64743999999999,1.96768,3.0,0.0,long,0.2071242105263158,False
171013,3,8,164,5.0,5.13392,2.95152,3.0,-59.51351999999999,short,0.5903039999999999,False
171013,4,8,158,9.5,31.50444,5.16516,2.5,-13.725360000000006,short,0.543701052631579,False
171013,4,8,160,9.5,45.2298,8.33536,2.5,0.0,long,0.8774063157894737,False
171013,5,8,154,9.5,47.29164,6.16836,2.5,0.0,long,0.6493010526315789,False
171013,5,8,156,7.5,26.88312,2.95152,2.5,-20.408520000000003,short,0.393536,False
171013,0,9,151,7.5,31.38784,4.81536,2.5,-6.5735999999999954,short,0.6420480000000001,False
171013,1,9,147,9.5,23.12728,4.4,2.5,-8.109200000000005,short,0.4631578947368421,False
171013,1,9,149,9.5,31.236480000000004,3.2032000000000003,2.5,0.0,long,0.3371789473684211,False
171013,2,9,143,9.5,50.46008,0.6221599999999999,3.0,0.0,long,0.0654905263157894,False
171013,2,9,145,9.5,28.954200000000004,2.2,3.0,-21.505879999999998,short,0.231578947368421,False
171013,3,9,139,8.0,37.56192,10.8438,2.0,-3.632200000000005,short,1.355475,False
171013,3,9,141,9.0,41.194120000000005,5.74948,2.0,0.0,short,0.6388311111111111,False
171013,4,9,137,9.5,28.44952,4.031280000000001,2.0,0.0,short,0.4243452631578948,False
171013,5,9,133,9.5,39.43016,3.4443200000000003,2.5,0.0,long,0.36256,False
171013,5,9,135,9.5,25.64452,3.9842,2.5,-13.78564,short,0.4193894736842105,False
171018,5,1,705,21.0,43.58772,0.0,2.0,-2.989359999999998,short,0.0,False
171018,5,1,707,20.0,38.39,-0.91872,2.0,-8.187080000000002,short,-0.045936,False
171018,8,1,699,9.5,95.10644,0.90552,3.0,0.0,long,0.095317894736842,False
171018,8,1,701,9.5,21.47244,2.12212,3.0,-73.634,short,0.2233810526315789,False
