,date,experiment,cell,kymograph,interval,time,region,tubb_mass,tubb_frac,time_speedup
0,220318,1,8,27,0,3,anterograde,918,0.07471311141857248,same
0,220318,1,8,27,0,3,stationary,1572,0.12794009929193456,same
0,220318,1,10,21,0,2,retrograde,22830,0.8861201676758267,same
0,220318,1,10,21,0,2,anterograde,1021,0.039628939605651295,same
0,220318,1,10,21,0,2,stationary,1913,0.07425089271852196,same
0,220329,1,12,16,0,2,retrograde,14950,1.0,same
0,220329,1,12,16,0,2,anterograde,0,0.0,same
0,220329,1,12,16,0,2,stationary,0,0.0,same
0,220225,1,2,127,1,6,retrograde,7973,0.22307089698394048,before
0,220225,1,2,127,1,6,anterograde,22306,0.6240837110402327,before
0,220225,1,2,127,1,6,stationary,5463,0.15284539197582675,before
0,220225,1,2,127,2,2,retrograde,10594,0.2806580655416325,before
0,220225,1,2,127,2,2,anterograde,21149,0.5602829363922961,before
0,220225,1,2,127,2,2,stationary,6004,0.1590589980660715,before
0,220225,1,16,121,1,9,retrograde,22352,0.7440250316223953,before
0,220225,1,16,121,1,9,anterograde,6394,0.21283536382397977,before
0,220225,1,16,121,1,9,stationary,1296,0.04313960455362492,before
0,220225,1,18,117,1,6,retrograde,11877,0.36960851434617537,before
0,220225,1,18,117,1,6,anterograde,12527,0.3898363104499907,before
0,220225,1,18,117,1,6,stationary,7730,0.24055517520383393,before
0,220225,1,22,115,0,18,retrograde,1125,0.17390632246096768,before
0,220225,1,22,115,0,18,anterograde,5344,0.8260936775390323,before
0,220225,1,22,115,0,18,stationary,0,0.0,before
0,220304,1,4,112,1,4,retrograde,16582,0.7297773083355339,before
0,220304,1,4,112,1,4,anterograde,3240,0.14259308159493003,before
0,220304,1,4,112,1,4,stationary,2900,0.12762961006953613,before
0,220304,1,5,108,0,2,retrograde,4160,0.3692853972481136,before
0,220304,1,5,108,0,2,anterograde,826,0.07332445628051487,before
0,220304,1,5,108,0,2,stationary,6279,0.5573901464713715,before
0,220304,1,8,102,1,3,retrograde,3504,1.0,before
0,220304,1,8,102,1,3,anterograde,0,0.0,before
0,220304,1,8,102,1,3,stationary,0,0.0,before
0,220304,1,8,103,1,9,retrograde,13812,0.732615498859598,before
0,220304,1,8,103,1,9,anterograde,3934,0.20866705564101204,before
0,220304,1,8,103,1,9,stationary,1107,0.058717445499390016,before
0,220304,1,18,96,0,33,retrograde,10991,1.0,before
0,220304,1,18,96,0,33,anterograde,8125,0.7392411973432809,before
0,220304,1,18,96,0,33,stationary,0,0.0,before
0,220304,1,22,90,1,3,retrograde,1391,1.0,before
0,220304,1,22,90,1,3,anterograde,0,0.0,before
0,220304,1,22,90,1,3,stationary,0,0.0,before
0,220304,1,22,91,0,11,retrograde,0,,before
0,220304,1,22,91,0,11,anterograde,0,,before
0,220304,1,22,91,0,11,stationary,0,,before
0,220304,1,22,91,1,2,retrograde,1861,1.0,before
0,220304,1,22,91,1,2,anterograde,0,0.0,before
0,220304,1,22,91,1,2,stationary,0,0.0,before
0,220311,1,2,84,1,5,retrograde,12982,0.8382514366888358,before
0,220311,1,2,84,1,5,anterograde,1368,0.0883321495447795,before
0,220311,1,2,84,1,5,stationary,1137,0.0734164137663847,before
0,220311,1,2,85,1,3,retrograde,18765,0.650298031605212,before
0,220311,1,2,85,1,3,anterograde,7567,0.2622331577488217,before
0,220311,1,2,85,1,3,stationary,2524,0.08746881064596618,before
